experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,0.0001,5,True,0.0,0.0001,207,11,9,0.01477145915850997,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,6,True,0.0,0.0001,354,11,9,0.0243476249743253,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,7,True,0.0,0.0001,221,11,9,0.014835957903414965,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,8,True,0.0,0.0001,196,11,9,0.014382041059434414,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,9,True,0.0,0.0001,791,11,9,0.06863991706632078,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,10,True,0.0,0.0001,245,11,9,0.016598291927948594,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,11,True,0.0,0.0001,2225,12,9,0.2097010409925133,50,False,False,True,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,12,True,0.0,0.0001,226,11,9,0.01624745805747807,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,13,True,0.0,0.0001,220,11,9,0.016067208955064416,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,14,True,0.0,0.0001,346,11,9,0.02284083398990333,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,15,True,0.0,0.0001,283,11,9,0.018792291870340705,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,16,True,0.0,0.0001,285,11,9,0.019925125176087022,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,17,True,0.0,0.0001,318,11,9,0.021582915913313627,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,18,True,0.0,0.0001,346,11,9,0.02784862508997321,50,True,True,False,0.0,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,19,True,0.0,0.0001,247,11,9,0.017174167092889547,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,20,True,0.0,0.0001,316,11,9,0.02451516594737768,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,21,True,0.0,0.0001,243,11,9,0.017024624859914184,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
